sample01	sample01^1
sample02	sample02^2
sample03	sample03^3
sample04	sample04^4
sample05	sample05^5
sample06	sample06^6
sample07	sample07^7
sample08	sample08^8
sample09	sample09^9
sample10	sample10^10
sample11	sample11^11
sample12	sample12^12
sample13	sample13^13
sample14	sample14^14
sample15	sample15^15
sample16	sample16^16
sample17	sample17^17
sample18	sample18^18
sample19	sample19^19
sample20	sample20^20
sample21	sample21^21
sample22	sample22^22
sample23	sample23^23
sample24	sample24^24
sample25	sample25^25
sample26	sample26^26
sample27	sample27^27
sample28	sample28^28
sample29	sample29^29
sample30	sample30^30
sample31	sample31^31
sample32	sample32^32
sample33	sample33^33
sample34	sample34^34
sample35	sample35^35
sample36	sample36^36
sample37	sample37^37
sample38	sample38^38
sample39	sample39^39
